Spanish,English,Pronunciation,Category
de,of/from,deh,Connectors
que,that/which,keh,Connectors
y,and,ee,Connectors
a,to/at,ah,Connectors
en,in/on,ehn,Connectors
no,no/not,noh,Connectors
sí,yes,see,Connectors
pero,but,peh-roh,Connectors
por,for/by,por,Connectors
con,with,kohn,Connectors
porque,because,por-keh,Connectors
si,if,see,Connectors
o,or,oh,Connectors
cuando,when,kwan-doh,Connectors
muy,very,mwee,Connectors
ser,to be (permanent),sehr,Verbs (Top 10)
estar,to be (temporary),eh-star,Verbs (Top 10)
tener,to have,teh-nehr,Verbs (Top 10)
hacer,to do/make,ah-sehr,Verbs (Top 10)
poder,can/be able to,poh-dehr,Verbs (Top 10)
decir,to say/tell,deh-seer,Verbs (Top 10)
ir,to go,eer,Verbs (Top 10)
ver,to see,vehr,Verbs (Top 10)
querer,to want,keh-rehr,Verbs (Top 10)
saber,to know (facts),sah-behr,Verbs (Top 10)
yo,I,yoh,Pronouns
tú,you (informal),too,Pronouns
él,he,ehl,Pronouns
ella,she,eh-yah,Pronouns
nosotros,we,noh-soh-trohs,Pronouns
ellos,they,eh-yohs,Pronouns
usted,you (formal),oos-ted,Pronouns
todo,everything/all,toh-doh,Pronouns
nada,nothing,nah-dah,Pronouns
algo,something,al-goh,Pronouns
hombre,man,ohm-breh,People
mujer,woman,moo-hehr,People
amigo,friend,ah-mee-goh,People
familia,family,fah-mee-lyah,People
qué,what,keh,Questions
cómo,how,koh-moh,Questions
quién,who,kyehn,Questions
dónde,where,dohn-deh,Questions
por qué,why,por keh,Questions
cuánto,how much,kwan-toh,Questions
cuándo,when,kwan-doh,Questions
ahora,now,ah-oh-rah,Time
hoy,today,oy,Time
mañana,tomorrow/morning,mah-nyah-nah,Time
ayer,yesterday,ah-yehr,Time
día,day,dee-ah,Time
noche,night,noh-cheh,Time
semana,week,seh-mah-nah,Time
año,year,ah-nyoh,Time
vez,time (occurrence),vehs,Time
aquí,here,ah-kee,Location
allí,there,ah-yee,Location
lugar,place,loo-gahr,Location
bueno,good,bweh-noh,Adjectives
malo,bad,mah-loh,Adjectives
grande,big,grahn-deh,Adjectives
pequeño,small,peh-keh-nyoh,Adjectives
mucho,a lot/much,moo-choh,Adjectives
poco,a little/few,poh-koh,Adjectives
nuevo,new,nweh-voh,Adjectives
mismo,same,mees-moh,Adjectives
importante,important,eem-por-tahn-teh,Adjectives
verdad,truth,vehr-dahd,Nouns (Abstract)
dar,to give,dahr,Verbs (Action)
hablar,to speak,ah-blahr,Verbs (Action)
encontrar,to find,ehn-kohn-trahr,Verbs (Action)
llevar,to wear/carry,yeh-vahr,Verbs (Action)
mirar,to look/watch,mee-rahr,Verbs (Action)
creer,to believe,kreh-ehr,Verbs (Action)
empezar,to start,ehm-peh-sahr,Verbs (Action)
esperar,to wait/hope,ehs-peh-rahr,Verbs (Action)
buscar,to look for,boos-kahr,Verbs (Action)
existir,to exist,ehk-sees-teer,Verbs (Action)
entrar,to enter,ehn-trahr,Verbs (Action)
trabajar,to work,trah-bah-hahr,Verbs (Action)
escribir,to write,ehs-kree-beer,Verbs (Action)
perder,to lose,pehr-dehr,Verbs (Action)
entender,to understand,ehn-ten-dehr,Verbs (Action)
pedir,to ask for,peh-deer,Verbs (Action)
recibir,to receive,reh-see-beer,Verbs (Action)
recordar,to remember,reh-kor-dahr,Verbs (Action)
terminar,to finish,tehr-mee-nahr,Verbs (Action)
permitir,to allow,pehr-mee-teer,Verbs (Action)
aparecer,to appear,ah-pah-reh-sehr,Verbs (Action)
conseguir,to get/obtain,kohn-seh-geer,Verbs (Action)
comenzar,to begin,koh-men-sahr,Verbs (Action)
servir,to serve,sehr-veer,Verbs (Action)
sacar,to take out,sah-kahr,Verbs (Action)
necesitar,to need,neh-seh-see-tahr,Verbs (Action)
mantener,to maintain,mahn-teh-nehr,Verbs (Action)
leer,to read,leh-ehr,Verbs (Action)
caer,to fall,kah-ehr,Verbs (Action)
cambiar,to change,kahm-byahr,Verbs (Action)
gente,people,hen-teh,People
persona,person,pehr-soh-nah,People
niño,boy,nee-nyoh,People
niña,girl,nee-nyah,People
hijo,son,ee-hoh,People
hija,daughter,ee-hah,People
padre,father,pah-dreh,People
madre,mother,mah-dreh,People
hermano,brother,ehr-mah-noh,People
hermana,sister,ehr-mah-nah,People
señor,Mr./sir,seh-nyohr,People
señora,Mrs./madam,seh-nyoh-rah,People
nombre,name,nohm-breh,People
grupo,group,groo-poh,People
trabajo,job/work,trah-bah-hoh,Nouns (General)
país,country,pah-ees,Nouns (General)
